id;question;navedeni_izvori;dohvaceni_izvori;auto_ocjena;rucna_ocjena;napomena
ZOI-01;Koji je nacionalni cilj udjela obnovljivih izvora energije u ukupnoj potrošnji energije u Republici Hrvatskoj do 2030. godine?;Integrirani nacionalni energetski i klimatski plan za Republiku Hrvatsku (NECP), str. 9;"Zakon o obnovljivim izvorima energije i visokoučinkovitoj kogeneraciji, str. 2; Zakon o obnovljivim izvorima energije i visokoučinkovitoj kogeneraciji, str. 9";netocno;netocno;
ZOI-02;Što je tržišna premija i kako se izračunava za postrojenja na obnovljive izvore energije?;"Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljive energije - Električna energija, str. 155; Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljive energije - Električna energija, str. 94";"Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljive energije - Električna energija, str. 155; Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljive energije - Električna energija, str. 94; Zakon o obnovljivim izvorima energije i visokoučinkovitoj kogeneraciji, str. 26";tocno;tocno;
ZOI-03;Koliko najdulje smije trajati upravni postupak izdavanja dozvola za izgradnju postrojenja OIE pred prvostupanjskim javnopravnim tijelom?;Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljive energije - Električna energija, str. 11;"Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljive energije - Električna energija, str. 11; Zakon o obnovljivim izvorima energije i visokoučinkovitoj kogeneraciji, str. 33";tocno;tocno;
ZOI-04;Po kojoj su reguliranoj otkupnoj cijeni opskrbljivači električne energije dužni preuzeti udio neto isporučene električne energije povlaštenih proizvođača?;Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljivih izvora energije - Električna energija, str. 21;"Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljive energije - Električna energija, str. 118; Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljive energije - Električna energija, str. 21; Zakon o obnovljivim izvorima energije i visokoučinkovitoj kogeneraciji, str. 5";netocno;netocno;
PRI-01;Koji su ključni dionici u postupku ishođenja dozvola za izgradnju postrojenja za proizvodnju električne energije iz obnovljivih izvora?;Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljive energije - Električna energija, str. 18;"Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljive energije - Električna energija, str. 94; Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljive energije - Električna energija, str. 18; Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljive energije - Električna energija, str. 21";tocno;djelomicno;
PRI-02;Koji je postupak stjecanja statusa povlaštenog proizvođača električne energije iz obnovljivih izvora?;Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljivih izvora - Električna energija, str. 85;"Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljive energije - Električna energija, str. 85; Zakon o obnovljivim izvorima energije i visokoučinkovitoj kogeneraciji, str. 8; Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljive energije - Električna energija, str. 94";netocno;tocno;
PRI-03;Kako funkcionira model samoopskrbe (vlastita potrošnja) za sunčane elektrane i kako se obračunavaju viškovi proizvedene energije?;Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljivih izvora energije - Električna energija, str. 90;"Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljive energije - Električna energija, str. 90; Zakon o obnovljivim izvorima energije i visokoučinkovitoj kogeneraciji, str. 53";netocno;tocno;
PRI-04;Koja je razlika između integriranih i neintegriranih sunčanih elektrana pri ishođenju dozvola?;Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljivih izvora energije - Električna energija, str. 118;"Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljive energije - Električna energija, str. 118; Zakon o obnovljivim izvorima energije i visokoučinkovitoj kogeneraciji, str. 18";netocno;tocno;
MET-01;Što je energetski pregled zgrade i koji su mu ciljevi prema Metodologiji 2021?;Metodologija provođenja energetskog pregleda zgrada 2021, str. 2;"Metodologija provođenja energetskog pregleda zgrada 2021, str. 2; Metodologija provođenja energetskog pregleda zgrada 2021, str. 12; Metodologija provođenja energetskog pregleda zgrada 2021, str. 54";tocno;tocno;
MET-02;Što mora sadržavati plan mjerenja koji se izrađuje u sklopu pripreme kontrolnih mjerenja pri energetskom pregledu zgrade?;Metodologija provođenja energetskog pregleda zgrada 2021, str. 15;"Metodologija provođenja energetskog pregleda zgrada 2021, str. 15; Metodologija provođenja energetskog pregleda zgrada 2021, str. 6";tocno;tocno;
MET-03;Koje mjere povećanja energetske učinkovitosti obuhvaća građevinska (vanjska) ovojnica zgrade prema Metodologiji 2021?;Metodologija provođenja energetskog pregleda zgrada 2021, str. 198;"Metodologija provođenja energetskog pregleda zgrada 2021, str. 198; Metodologija provođenja energetskog pregleda zgrada 2021, str. 2; Metodologija provođenja energetskog pregleda zgrada 2021, str. 192";tocno;tocno;
MET-04;Za koje sustave i uz koji prag nazivne snage je prema Metodologiji 2021 obvezan redoviti pregled sustava grijanja i hlađenja prostora?;Metodologija provođenja energetskog pregleda zgrada 2021, str. 271;"Metodologija provođenja energetskog pregleda zgrada 2021, str. 274; Metodologija provođenja energetskog pregleda zgrada 2021, str. 272; Metodologija provođenja energetskog pregleda zgrada 2021, str. 271";tocno;tocno;
VEN-01;Koje uvjete moraju ispunjavati tehnička svojstva sustava ventilacije prema Tehničkom propisu o sustavima ventilacije?;Tehnički propis o sustavima ventilacije, str. 8;"Tehnički propis o sustavima ventilacije, djelomične klimatizacije i klimatizacije zgrada, str. 6; Tehnički propis o sustavima ventilacije, djelomične klimatizacije i klimatizacije zgrada, str. 8; Metodologija provođenja energetskog pregleda zgrada 2021, str. 276";tocno;tocno;
VEN-02;Što mora sadržavati strojarski projekt sustava ventilacije kao sastavni dio glavnog projekta zgrade prema Tehničkom propisu?;Tehnički propis o sustavima ventilacije, djelomične klimatizacije i klimatizacije zgrada, str. 12;"Tehnički propis o sustavima ventilacije, djelomične klimatizacije i klimatizacije zgrada, str. 9; Tehnički propis o sustavima ventilacije, djelomične klimatizacije i klimatizacije zgrada, str. 12; Tehnički propis o sustavima ventilacije, djelomične klimatizacije i klimatizacije zgrada, str. 22";tocno;tocno;
VEN-03;Što nadzorni inženjer mora provjeriti neposredno prije početka izvođenja sustava ventilacije prema Prilogu B Tehničkog propisa?;Tehnički propis o sustavima ventilacije, str. 24;"Tehnički propis o sustavima ventilacije, djelomične klimatizacije i klimatizacije zgrada, str. 24; Metodologija provođenja energetskog pregleda zgrada 2021, str. 206; Tehnički propis o sustavima ventilacije, djelomične klimatizacije i klimatizacije zgrada, str. 12";tocno;tocno;
VEN-04;Koliko se često provode redoviti pregledi sustava ventilacije tijekom održavanja i za koje je sustave ispitivanje obvezno prema Tehničkom propisu?;"Metodologija provođenja energetskog pregleda zgrada 2021, str. 276; Tehnički propis o sustavima ventilacije, str. 9";"Metodologija provođenja energetskog pregleda zgrada 2021, str. 277; Tehnički propis o sustavima ventilacije, djelomične klimatizacije i klimatizacije zgrada, str. 9; Metodologija provođenja energetskog pregleda zgrada 2021, str. 276";tocno;tocno;
JPO-01;Tko može biti korisnik sredstava i koje uvjete mora ispuniti prijavitelj na Javni poziv EnU-6/25?;Javni poziv za poticanje ugradnje fotonaponskih elektrana u obiteljskim kućama (EnU-6/25), str. 2;"Javni poziv za poticanje ugradnje fotonaponskih elektrana u obiteljskim kućama (EnU-6/25), str. 6; Javni poziv za poticanje ugradnje fotonaponskih elektrana u obiteljskim kućama (EnU-6/25), str. 2; Javni poziv za poticanje ugradnje fotonaponskih elektrana u obiteljskim kućama (EnU-6/25), str. 7";tocno;tocno;
JPO-02;Koji je minimalni stupanj korisnog djelovanja fotonaponskih modula za prihvatljivost sufinanciranja prema Javnom pozivu EnU-6/25?;Javni poziv za poticanje ugradnje fotonaponskih elektrana u obiteljskim kućama (EnU-6/25), str. 1;"Javni poziv za poticanje ugradnje fotonaponskih elektrana u obiteljskim kućama (EnU-6/25), str. 3; Javni poziv za poticanje ugradnje fotonaponskih elektrana u obiteljskim kućama (EnU-6/25), str. 1";tocno;tocno;
JPO-03;Koji je iznos potpore po kW i maksimalni udio sufinanciranja opravdanih troškova prema Javnom pozivu EnU-6/25?;Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljivih izvora energije - Električna energija, str. 93;"Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljive energije - Električna energija, str. 93; Zakon o obnovljivim izvorima energije i visokoučinkovitoj kogeneraciji, str. 54; Zakon o obnovljivim izvorima energije i visokoučinkovitoj kogeneraciji, str. 50";netocno;tocno;
JPO-04;U kojem roku i na koji način Fond isplaćuje odobrena sredstva korisniku prema Javnom pozivu EnU-6/25?;Javni poziv za poticanje ugradnje fotonaponskih elektrana u obiteljskim kućama (EnU-6/25), str. 8;"Javni poziv za poticanje ugradnje fotonaponskih elektrana u obiteljskim kućama (EnU-6/25), str. 8; Javni poziv za poticanje ugradnje fotonaponskih elektrana u obiteljskim kućama (EnU-6/25), str. 7";tocno;tocno;
