id;question;navedeni_izvori;dohvaceni_izvori;auto_ocjena;rucna_ocjena;napomena
ZOI-01;Koji je nacionalni cilj udjela obnovljivih izvora energije u ukupnoj potrošnji energije u Republici Hrvatskoj do 2030. godine?;Zakon o obnovljivim izvorima energije i visokoučinkovitoj kogeneraciji, str. 9;"Zakon o obnovljivim izvorima energije i visokoučinkovitoj kogeneraciji, str. 2; Zakon o obnovljivim izvorima energije i visokoučinkovitoj kogeneraciji, str. 9";tocno;tocno;Generirani odgovor temelji na navedenom izvoru iako je on sadržajno netočan pitanju
ZOI-02;Što je tržišna premija i kako se izračunava za postrojenja na obnovljive izvore energije?;(nema);"Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljive energije - Električna energija, str. 155; Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljive energije - Električna energija, str. 94; Zakon o obnovljivim izvorima energije i visokoučinkovitoj kogeneraciji, str. 26";nema_citata;tocno;u odgovoru se nalaze izvori samo nisu u točnom formatu pa ih sustav ne prepoznaje kao navedene izvore
ZOI-03;Koliko najdulje smije trajati upravni postupak izdavanja dozvola za izgradnju postrojenja OIE pred prvostupanjskim javnopravnim tijelom?;Zakon o obnovljivim izvorima energije i visokoučinkovitoj kogeneraciji, str. 33;"Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljive energije - Električna energija, str. 11; Zakon o obnovljivim izvorima energije i visokoučinkovitoj kogeneraciji, str. 33";tocno;tocno;
ZOI-04;Po kojoj su reguliranoj otkupnoj cijeni opskrbljivači električne energije dužni preuzeti udio neto isporučene električne energije povlaštenih proizvođača?;Zakon o obnovljivim izvorima energije i visokoučinkovitoj kogeneraciji, str. 5;"Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljive energije - Električna energija, str. 118; Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljive energije - Električna energija, str. 21; Zakon o obnovljivim izvorima energije i visokoučinkovitoj kogeneraciji, str. 5";tocno;djelomicno;
PRI-01;Koji su ključni dionici u postupku ishođenja dozvola za izgradnju postrojenja za proizvodnju električne energije iz obnovljivih izvora?;Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljive energije - Električna energija, str. 94;"Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljive energije - Električna energija, str. 94; Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljive energije - Električna energija, str. 18; Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljive energije - Električna energija, str. 21";tocno;djelomicno;
PRI-02;Koji je postupak stjecanja statusa povlaštenog proizvođača električne energije iz obnovljivih izvora?;"Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljive energije - Električna energija, str. 94; Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljive energije - Električna energija, str. 94; Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljive energije - Električna energija, str. 94";"Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljive energije - Električna energija, str. 85; Zakon o obnovljivim izvorima energije i visokoučinkovitoj kogeneraciji, str. 8; Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljive energije - Električna energija, str. 94";tocno;tocno;
PRI-03;Kako funkcionira model samoopskrbe (vlastita potrošnja) za sunčane elektrane i kako se obračunavaju viškovi proizvedene energije?;Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljive energije - Električna energija, str. 90;"Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljive energije - Električna energija, str. 90; Zakon o obnovljivim izvorima energije i visokoučinkovitoj kogeneraciji, str. 53";tocno;tocno;
PRI-04;Koja je razlika između integriranih i neintegriranih sunčanih elektrana pri ishođenju dozvola?;(nema);"Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljive energije - Električna energija, str. 118; Zakon o obnovljivim izvorima energije i visokoučinkovitoj kogeneraciji, str. 18";nema_citata;tocno;u odgovoru se nalaze izvori samo nisu u točnom formatu pa ih sustav ne prepoznaje kao navedene izvore
MET-01;Što je energetski pregled zgrade i koji su mu ciljevi prema Metodologiji 2021?;Metodologija provođenja energetskog pregleda zgrada 2021, str. 2;"Metodologija provođenja energetskog pregleda zgrada 2021, str. 2; Metodologija provođenja energetskog pregleda zgrada 2021, str. 12; Metodologija provođenja energetskog pregleda zgrada 2021, str. 54";tocno;tocno;
MET-02;Što mora sadržavati plan mjerenja koji se izrađuje u sklopu pripreme kontrolnih mjerenja pri energetskom pregledu zgrade?;Metodologija provođenja energetskog pregleda zgrada 2021, str. 6;"Metodologija provođenja energetskog pregleda zgrada 2021, str. 15; Metodologija provođenja energetskog pregleda zgrada 2021, str. 6";tocno;tocno;
