id,document,category,question,ground_truth,generated_answer,answer_relevancy,faithfulness,context_precision,context_recall,sources_meta
ZOI-01,Zakon o obnovljivim izvorima energije i visokoučinkovitoj kogeneraciji,Zakonodavstvo,Koji je nacionalni cilj udjela obnovljivih izvora energije u ukupnoj potrošnji energije u Republici Hrvatskoj do 2030. godine?,"Nacionalni cilj korištenja energije iz obnovljivih izvora energije iznosi najmanje 42,5 % obnovljivih izvora energije u konačnoj brutopotrošnji energije do 2030. godine u Republici Hrvatskoj."," Nacionalni cilj udjela obnovljivih izvora energije u ukupnoj potrošnji energije u Republici Hrvatskoj do 2030. godine je postizanje zacrtanog udjela obnovljive energije u konačnoj brutopotrošnji energije u promatranom desetogodišnjem razdoblju u dimenziji dekarbonizacije, kao što je definirano u Integriranom nacionalnom energetskom i klimatskom planu za Republiku Hrvatsku za razdoblje od 2021. do 2030. godine (NECP).
Izvor: Zakon o obnovljivim izvorima energije i visokoučinkovitoj kogeneraciji, str. 9",0.0,1.0,1.0,1.0,"[{'naziv_dokumenta': 'Zakon o obnovljivim izvorima energije i visokoučinkovitoj kogeneraciji', 'stranica': 2, 'kategorija': 'Pravni okvir i postupci'}, {'naziv_dokumenta': 'Zakon o obnovljivim izvorima energije i visokoučinkovitoj kogeneraciji', 'stranica': 9, 'kategorija': 'Pravni okvir i postupci'}]"
ZOI-02,Zakon o obnovljivim izvorima energije i visokoučinkovitoj kogeneraciji,Zakonodavstvo,Što je tržišna premija i kako se izračunava za postrojenja na obnovljive izvore energije?,"Tržišna premija (TPi) je poticaj koji operator tržišta energije isplaćuje povlaštenom proizvođaču za neto isporučenu električnu energiju. Računa se kao razlika između referentne vrijednosti električne energije (RV), utvrđene ugovorom o tržišnoj premiji, i referentne tržišne cijene električne energije (TCi): TPi = RV − TCi."," Tržišna premija je oblik potpore koji se daje korisniku pravo na plaćanje novčanog iznosa jednakog razlici između referentne vrijednosti električne energije i referentne tržišne cijene, po jedinici proizvodnje. Izračunava se na temelju referentne vrijednosti električne energije koja je nositelj projekata ostvario na javnom natječaju i referentne tržišne cijene. Ovaj oblik potpore daje HROTE povlaštenom korisniku, a ugovor o tržišnoj premiji se potpisuje nakon uspješnog sudjelovanja na javnom natječaju prije nego je započela gradnja postrojenja.

Izvori:
- Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljive energije - Električna energija, str. 155
- Zakon o obnovljivim izvorima energije i visokoučinkovitoj kogeneraciji, str. 26",0.0,1.0,1.0,1.0,"[{'naziv_dokumenta': 'Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljive energije - Električna energija', 'stranica': 155, 'kategorija': 'Financiranje i potpore'}, {'naziv_dokumenta': 'Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljive energije - Električna energija', 'stranica': 94, 'kategorija': 'Obnovljivi izvori energije'}, {'naziv_dokumenta': 'Zakon o obnovljivim izvorima energije i visokoučinkovitoj kogeneraciji', 'stranica': 26, 'kategorija': 'Financiranje i potpore'}]"
ZOI-03,Zakon o obnovljivim izvorima energije i visokoučinkovitoj kogeneraciji,Zakonodavstvo,Koliko najdulje smije trajati upravni postupak izdavanja dozvola za izgradnju postrojenja OIE pred prvostupanjskim javnopravnim tijelom?,Upravni postupak izdavanja dozvola za proizvodna postrojenja iz obnovljivih izvora ne smije trajati dulje od dvije godine pred prvostupanjskim javnopravnim tijelom (članak 29. stavak 11.). Za postrojenja kapaciteta električne energije ispod 150 kW rok je jedna godina (članak 29. stavak 12.). U opravdanim slučajevima izvanrednih okolnosti ili više sile navedeni se rokovi mogu produljiti za najviše jednu godinu.," Upravni postupak izdavanja dozvole za izgradnju proizvodnog postrojenja iz obnovljive energije pred prvostupanjskim javnopravnim tijelom može trajati najviše 6 mjeseci, ako se ne odnosi na žalbu pred drugostupanjskim javnopravnim tijelom ili pravnom osobom s javnopravnim ovlastima. Ako se radi o žalbi, trajanje postupka ne računa se u rokove iz stavaka 11., 12. i 14. Zakona o obnovljivim izvorima energije i visokoučinkovitoj kogeneraciji, te se ti rokovi produljuju vremenom trajanja takvih postupaka (Zakon o obnovljivim izvorima energije i visokoučinkovitoj kogeneraciji, str. 33). Međutim, ako se radi o žalbi pred drugostupanjskim javnopravnim tijelom ili pravnom osobom s javnopravnim ovlastima, trajanje postupka nije ograničeno rokom od 6 mjeseci (Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljive energije - Električna energija, str. 11).

Izvor: [Zakon o obnovljivim izvorima energije i visokoučinkovitoj kogeneraciji], str. 33; [Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljive energije - Električna energija], str. 11",0.4151,0.75,0.0,1.0,"[{'naziv_dokumenta': 'Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljive energije - Električna energija', 'stranica': 11, 'kategorija': 'Pravni okvir i postupci'}, {'naziv_dokumenta': 'Zakon o obnovljivim izvorima energije i visokoučinkovitoj kogeneraciji', 'stranica': 33, 'kategorija': 'Pravni okvir i postupci'}]"
ZOI-04,Zakon o obnovljivim izvorima energije i visokoučinkovitoj kogeneraciji,Zakonodavstvo,Po kojoj su reguliranoj otkupnoj cijeni opskrbljivači električne energije dužni preuzeti udio neto isporučene električne energije povlaštenih proizvođača?,"Opskrbljivači električne energije dužni su preuzeti udio, izražen u postotku, u neto isporučenoj električnoj energiji povlaštenih proizvođača, uključivo pravo na jamstvo podrijetla, po reguliranoj otkupnoj cijeni koja iznosi 0,055744 EUR/kWh (članak 46. stavak 1.)."," Po zakonu o obnovljivim izvorima energije i visokoučinkovitoj kogeneraciji (Zakon o OIE i VK), nositelj projekta, koji je upisan u Registar obnovljivih izvora energije i kogeneracije te povlaštenih proizvođača, dobiva pravo na otkup neto isporučenog električnog energijskog proizvoda po reguliranoj cijeni. Otkupna cijena je određena propisom koji regulira tržište električne energije (Pravilnik o otkupnoj cijeni neto isporučenih električnih energija povlaštenih proizvođača). Izvor: Zakon o obnovljivim izvorima energije i visokoučinkovitoj kogeneraciji, str. 5; Pravilnik o otkupnoj cijeni neto isporučenih električnih energija povlaštenih proizvođača, nije priložen u kontekstu.",0.0,0.6,0.0,1.0,"[{'naziv_dokumenta': 'Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljive energije - Električna energija', 'stranica': 118, 'kategorija': 'Obnovljivi izvori energije'}, {'naziv_dokumenta': 'Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljive energije - Električna energija', 'stranica': 21, 'kategorija': 'Pravni okvir i postupci'}, {'naziv_dokumenta': 'Zakon o obnovljivim izvorima energije i visokoučinkovitoj kogeneraciji', 'stranica': 5, 'kategorija': 'Pravni okvir i postupci'}]"
PRI-01,Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljive energije,Procedure i dozvole,Koji su ključni dionici u postupku ishođenja dozvola za izgradnju postrojenja za proizvodnju električne energije iz obnovljivih izvora?,"U postupcima ishođenja dozvola sudjeluju dionici na državnoj te lokalnoj i područnoj (regionalnoj) razini. Na državnoj razini to su MINGO, MZOZT, MPGI, MPS, HERA, HROTE, HOPS, HEP ODS, AZU, Hrvatske vode i Hrvatske šume. Jedinice lokalne i područne (regionalne) samouprave izdaju lokacijske i građevinske dozvole, a sudjeluju i područni uredi za katastar i zemljišnoknjižni odjeli. Uz njih sudjeluju ovlašteni članovi strukovnih komora (građevinarstva, arhitekture, elektrotehnike, geodezije, strojarstva). Prema Zakonu o gradnji ključni sudionici u gradnji su investitor, projektant, izvođač, nadzorni inženjer i revident."," Ključne dionice u postupku ishođenja dozvola za izgradnju postrojenja za proizvodnju električne energije iz obnovljivih izvora su:

1. Proizvođači električne energije - oni koji će graditi i održavati postrojenje.
2. Hrvatske agencije za upravljanje resursima (HERA) - tijelo koje donosi rješenja o stjecanju statusa povlaštenog proizvođača električne energije.
3. Zaključni odnosi za otkupljavanje električne energije (ZOC-ovi) i tržišni operater električne energije (TP) - oni koji će kupovati energiju od proizvođača.
4. Hrvatske republičke elektroprivredne obrtnice (HROTE) - tijelo koje je zaduženo za tržišnu upravljanje i regulaciju tržišta električne energije u Republici Hrvatskoj.

Izvor: Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljive energije - Električna energija, str. 94; str. 18; str. 21

Uz to, u slučaju kogeneracije, ključnu dionicu predstavlja i tijelo koje je zaduženo za upravljanje toplinskom energijom.",0.4636,0.6667,0.0,1.0,"[{'naziv_dokumenta': 'Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljive energije - Električna energija', 'stranica': 94, 'kategorija': 'Obnovljivi izvori energije'}, {'naziv_dokumenta': 'Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljive energije - Električna energija', 'stranica': 18, 'kategorija': 'Pravni okvir i postupci'}, {'naziv_dokumenta': 'Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljive energije - Električna energija', 'stranica': 21, 'kategorija': 'Pravni okvir i postupci'}]"
PRI-02,Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljive energije,Procedure i dozvole,Koji je postupak stjecanja statusa povlaštenog proizvođača električne energije iz obnovljivih izvora?,"Nakon ishođenja uporabne dozvole potrebno je od HERA-e ishoditi dozvolu za obavljanje energetske djelatnosti proizvodnje, a potom od HERA-e i rješenje o stjecanju statusa povlaštenog proizvođača električne energije, koje se izdaje na rok važenja od 25 godina. Dozvolu za obavljanje energetske djelatnosti nije potrebno ishoditi ako je zbroj instaliranih snaga svih postrojenja investitora do uključivo 500 kW i ako se postrojenje nalazi iza obračunskog mjernog mjesta aktivnog kupca. Proizvodna postrojenja koja su jednostavne građevine stječu status povlaštenog proizvođača temeljem ZOIEVUK-a i ne trebaju ishoditi rješenje HERA-e, osim ako žele sudjelovati u sustavu jamstva podrijetla energije."," Status povlaštenog proizvođača električne energije iz obnovljivih izvora se može steknuti po dva načina:
1. Rješenjem HERA-e na temelju zahtjeva za pojedino proizvodno postrojenje (Izvor: Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljive energije - Električna energija, str. 94).
2. U slučaju proizvodnje električne energije u proizvodnim postrojenjima koje su već u funkciji, status se stječe automatski (Izvor: Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljive energije - Električna energija, str. 94).

Uz to, navedeni su i drugi ugovori koji moraju biti sklopljeni prije ili poslije izgradnje postrojenja: Ugovor o tržišnoj premiji, Ugovor o otkupu s otkupljivačem električne energije i Ugovor o sudjelovanju na tržištu električne energije s HROTE-om (Izvor: Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljive energije - Električna energija, str. 94).

Ako je rješenje o stjecanju statusa povlaštenog proizvođača električne energije označeno kao [NEAKTIVAN / rok istekao], upozorite korisnika da taj natječaj ili dokument više nije na snazi te da navedene uvjete i rokove treba provjeriti u aktualnoj verziji.",0.5867,1.0,0.3333,1.0,"[{'naziv_dokumenta': 'Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljive energije - Električna energija', 'stranica': 85, 'kategorija': 'Pravni okvir i postupci'}, {'naziv_dokumenta': 'Zakon o obnovljivim izvorima energije i visokoučinkovitoj kogeneraciji', 'stranica': 8, 'kategorija': 'Pravni okvir i postupci'}, {'naziv_dokumenta': 'Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljive energije - Električna energija', 'stranica': 94, 'kategorija': 'Obnovljivi izvori energije'}]"
PRI-03,Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljive energije,Procedure i dozvole,Kako funkcionira model samoopskrbe (vlastita potrošnja) za sunčane elektrane i kako se obračunavaju viškovi proizvedene energije?,"U modelu samoopskrbe elektrana je priključena iza obračunskog mjernog mjesta kupca, pa se proizvedena energija najprije troši za vlastite potrebe, a tek se višak predaje u mrežu. Opskrbljivač je dužan preuzimati viškove kupaca s vlastitom proizvodnjom koji zadovoljavaju uvjete iz članka 51. ZOIEVUK-a. Zajamčena minimalna otkupna cijena viškova Ci obračunava se kao Ci = 0,9 × PKCi (kada je preuzeta energija veća ili jednaka isporučenoj), pri čemu je PKCi prosječna jedinična cijena koju kupac plaća opskrbljivaču. Obračunsko razdoblje je kalendarski mjesec, a mjerenje se provodi dvosmjernim intervalnim brojilom."," Model samoopskrbe (vlastita potrošnja) za solarnu elektranu funkcionira tako da se električna energija koja se proizvede iz vlastite elektrane koristi prvo za zadovoljenje vlastitih potreba kupca, a preostatak se predaje u mrežu. Ako su troškovi izgradnje i proizvodnje vlastite elektrane niži od cijene električne energije kupljene od opskrbljivača, onda se isplativa.

U slučaju samoopskrbe, kupac potpisuje ugovor o korisnu upotrebu mreže i ugovor o opskrbi/otkupu s opskrbljivačem. Ugovor o korisnoj upotrebi mreže sadrži posebne uvjete i uvjete priključenja, a ugovor o opskrbi/otkupu definira cijenu električne energije koju će plaćati opskrbljivač.

Ako je proizvodnja iz vlastite elektrane veća od potrošnje, onda se preostatak predaje u mrežu. U slučaju da nema proizvodnje, kupac može preuzeti električnu energiju iz mreže.

Ugovor o opskrbi/otkupu ne obračunava se za naknade i pristojbe za prijenos i distribuciju električne energije u slučaju samoopskrbe.

Izvor: [Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljive energije - Električna energija, str. 90], [Zakon o obnovljivim izvorima energije i visokoučinkovitoj kogeneraciji, str. 53]",0.532,0.8182,0.5833,1.0,"[{'naziv_dokumenta': 'Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljive energije - Električna energija', 'stranica': 90, 'kategorija': 'Obnovljivi izvori energije'}, {'naziv_dokumenta': 'Zakon o obnovljivim izvorima energije i visokoučinkovitoj kogeneraciji', 'stranica': 53, 'kategorija': 'Obnovljivi izvori energije'}]"
PRI-04,Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljive energije,Procedure i dozvole,Koja je razlika između integriranih i neintegriranih sunčanih elektrana pri ishođenju dozvola?,"Neintegrirane sunčane elektrane su elektrane izgrađene kao samostojeće građevine, dok su integrirane one smještene na dijelovima građevina (krovovi, pokrovi, sjenila, balkoni, terase, nadstrešnice, fasade, prozori i dr.) ili na infrastrukturnim objektima. Razlika utječe na postupak: za neintegrirane se redom provode izrada idejnog rješenja, ishođenje energetskog odobrenja i elektroenergetske suglasnosti te građenje s uporabnom dozvolom. Za integrirane postupak započinje zahtjevom za priključenje operatoru distribucijskog sustava, nije potrebna građevinska ni uporabna dozvola (uz stručni nadzor i prijavu početka građenja), a građe se u skladu s glavnim projektom."," Integrirane sunčane elektrane se mogu graditi bez građevinske dozvole, jer se na njih primjenjuju odredbe Pravilnika o jednostavnim i drugim građevinama i radovima. Za integrirane elektrane ne izdaje se uporabna dozvola, ali je potreban stručni nadzor građenja i prijava početka građenja građevine sukladno ZOG-u (Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljive energije - Električna energija, str. 118). Neintegrirane sunčane elektrane, koje se ne mogu smjestiti na dijelovima građevina kao što su krovovi, pokrovi, sjenila, balkoni, terase, nadstrešnice, balustrade, fasade, prozori, vrata i druge površine građevina ili na transformatorskim stanicama, nadstrešnicama, mostovima i drugim infrastrukturnim objektima (Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljive energije - Električna energija, str. 118), moraju imati građevinsku dozvolu (Zakon o obnovljivim izvorima energije i visokoučinkovitoj kogeneraciji, str. 18).

Izvori:
- Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljive energije - Električna energija, str. 118
- Zakon o obnovljivim izvorima energije i visokoučinkovitoj kogeneraciji, str. 18",0.0,1.0,0.5833,1.0,"[{'naziv_dokumenta': 'Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljive energije - Električna energija', 'stranica': 118, 'kategorija': 'Obnovljivi izvori energije'}, {'naziv_dokumenta': 'Zakon o obnovljivim izvorima energije i visokoučinkovitoj kogeneraciji', 'stranica': 18, 'kategorija': 'Financiranje i potpore'}]"
MET-01,Metodologija provođenja energetskog pregleda zgrada 2021,Energetska učinkovitost,Što je energetski pregled zgrade i koji su mu ciljevi prema Metodologiji 2021?,Energetski pregled zgrade sustavni je postupak prikupljanja i analize podataka o energetskim karakteristikama zgrade s ciljem utvrđivanja energetskog razreda i preporuka za poboljšanje energetske učinkovitosti. Ciljevi i svrha opisani su na stranicama 1–15 Metodologije.," Energetski pregled zgrade je postupak koji se odnosi na analizu stanja i mogućnosti primjene mjera poboljšanja energetskih svojstava zgrade i poboljšanja energetske učinkovitosti u skladu s realnim uvjetima eksploatacije i uporabe zgrade. Ciljevi energetskog pregleda su analiza stanja i mogućnosti primjene mjera poboljšanja energetskih svojstava zgrade, prikupljanje svih potrebnih podataka i informacija o zgradama za provođenje postupka energetske certifikacije zgrade i određivanja energetskog razreda zgrade u propisanim referentnim klimatskim podacima prema Algoritmu. Ovom Metodologijom provođenja energetskog pregleda zgrada utvrđuje se provedba energetskih pregleda koja je propisana najnovijim Pravilnikom o energetskom pregledu zgrade i energ. certificiranju (Izvor: Metodologija provođenja energetskog pregleda zgrada 2021, str. 2; Metodologija provođenja energetskog pregleda zgrada 2021, str. 12; Metodologija provođenja energetskog pregleda zgrada 2021, str. 54).",0.0,1.0,1.0,1.0,"[{'naziv_dokumenta': 'Metodologija provođenja energetskog pregleda zgrada 2021', 'stranica': 2, 'kategorija': 'Energetski pregled zgrada'}, {'naziv_dokumenta': 'Metodologija provođenja energetskog pregleda zgrada 2021', 'stranica': 12, 'kategorija': 'Energetski pregled zgrada'}, {'naziv_dokumenta': 'Metodologija provođenja energetskog pregleda zgrada 2021', 'stranica': 54, 'kategorija': 'Mjere obnove zgrada'}]"
MET-02,Metodologija provođenja energetskog pregleda zgrada 2021,Energetska učinkovitost,Što mora sadržavati plan mjerenja koji se izrađuje u sklopu pripreme kontrolnih mjerenja pri energetskom pregledu zgrade?,"Plan mjerenja ključni je dokument pripreme kontrolnih mjerenja koji mora sadržavati odgovore na pitanja: tko mjeri, gdje se mjeri, koliko traje mjerenje, tko je od strane korisnika odobrio mjerenje, s kojom se mjernom opremom mjeri te tko kontrolira mjerenje. Plan mjerenja mora biti sastavni dio dokumentacije koja se zajedno s rezultatima mjerenja predaje korisniku."," Plan mjerenja koji se izrađuje u sklopu pripreme kontrolnih mjerenja pri energetskom pregledu zgrade mora sadržavati odgovore na sljedeće pitanja:
1. Tko će mjeriti? (ime i prezime tehničara koji će izvesti mjerenje)
2. Gdje se mjeri? (detaljno opis lokacije gdje će se postaviti mjerna oprema)
3. Koliko traje mjerenje? (ukupni vremenski rok za izvođenje kontrolnih mjerenja)
Izvor: Metodologija provođenja energetskog pregleda zgrada 2021, str. 6 i 15",0.5008,1.0,1.0,0.5,"[{'naziv_dokumenta': 'Metodologija provođenja energetskog pregleda zgrada 2021', 'stranica': 15, 'kategorija': 'Energetski pregled zgrada'}, {'naziv_dokumenta': 'Metodologija provođenja energetskog pregleda zgrada 2021', 'stranica': 6, 'kategorija': 'Energetski pregled zgrada'}]"
