id,document,category,question,ground_truth,generated_answer,answer_relevancy,faithfulness,context_precision,context_recall,sources_meta
ZOI-01,Zakon o obnovljivim izvorima energije i visokoučinkovitoj kogeneraciji,Zakonodavstvo,Koji je nacionalni cilj udjela obnovljivih izvora energije u ukupnoj potrošnji energije u Republici Hrvatskoj do 2030. godine?,"Nacionalni cilj korištenja energije iz obnovljivih izvora energije iznosi najmanje 42,5 % obnovljivih izvora energije u konačnoj brutopotrošnji energije do 2030. godine u Republici Hrvatskoj.","Nacionalni cilj udjela obnovljivih izvora energije u ukupnoj potrošnji energije u Republici Hrvatskoj do 2030. godine, prema Integriranom nacionalnom energetskom i klimatskom planu (NECP), je postizanje zacrtanog udjela obnovljive energije u konačnoj brutopotrošnji energije u promatranom desetogodišnjem razdoblju u dimenziji dekarbonizacije. Konkretni brojčan utvrđen je u NECP, ali se ne navodi izvan ovog konteksta.

Izvor: Integrirani nacionalni energetski i klimatski plan za Republiku Hrvatsku (NECP), str. 9",0.0,0.8571,1.0,1.0,"[{'naziv_dokumenta': 'Zakon o obnovljivim izvorima energije i visokoučinkovitoj kogeneraciji', 'stranica': 2, 'kategorija': 'Pravni okvir i postupci'}, {'naziv_dokumenta': 'Zakon o obnovljivim izvorima energije i visokoučinkovitoj kogeneraciji', 'stranica': 9, 'kategorija': 'Pravni okvir i postupci'}]"
ZOI-02,Zakon o obnovljivim izvorima energije i visokoučinkovitoj kogeneraciji,Zakonodavstvo,Što je tržišna premija i kako se izračunava za postrojenja na obnovljive izvore energije?,"Tržišna premija (TPi) je poticaj koji operator tržišta energije isplaćuje povlaštenom proizvođaču za neto isporučenu električnu energiju. Računa se kao razlika između referentne vrijednosti električne energije (RV), utvrđene ugovorom o tržišnoj premiji, i referentne tržišne cijene električne energije (TCi): TPi = RV − TCi.","Tržišna premija je novčani iznos koji Hrvatska regulatorna agencija za energetiku (HROTE) isplaćuje povlaštenom proizvođaču električne energije. Ona predstavlja razliku između referentne vrijednosti električne energije koju je nositelj projekta ostvario na javnom natječaju i referentne tržišne cijene po jedinici proizvodnje.

Ugovor o tržišnoj premiji daje korisniku pravo na plaćanje tržišnepremije koja se izračunava na sljedeći način:

1.  Referentna vrijednost električne energije: Ovo je cijena koju je nositelj projekta ostvario na javnom natječaju za svoj projekt.
2.  Referentna tržišna cijena: To je tržišna cijena električne energije u trenutku proizvodnje.

Izvor: Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljive energije - Električna energija, str. 155; Ugovor o tržišnoj premiji (instrument potpore koji daje korisniku pravo na plaćanje tržišnepremije koja je jednaka razlici između referentne vrijednosti električne energije i referentne tržišne cijene).
Izvor: Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljive energije - Električna energija, str. 94",0.6488,1.0,1.0,1.0,"[{'naziv_dokumenta': 'Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljive energije - Električna energija', 'stranica': 155, 'kategorija': 'Financiranje i potpore'}, {'naziv_dokumenta': 'Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljive energije - Električna energija', 'stranica': 94, 'kategorija': 'Obnovljivi izvori energije'}, {'naziv_dokumenta': 'Zakon o obnovljivim izvorima energije i visokoučinkovitoj kogeneraciji', 'stranica': 26, 'kategorija': 'Financiranje i potpore'}]"
ZOI-03,Zakon o obnovljivim izvorima energije i visokoučinkovitoj kogeneraciji,Zakonodavstvo,Koliko najdulje smije trajati upravni postupak izdavanja dozvola za izgradnju postrojenja OIE pred prvostupanjskim javnopravnim tijelom?,Upravni postupak izdavanja dozvola za proizvodna postrojenja iz obnovljivih izvora ne smije trajati dulje od dvije godine pred prvostupanjskim javnopravnim tijelom (članak 29. stavak 11.). Za postrojenja kapaciteta električne energije ispod 150 kW rok je jedna godina (članak 29. stavak 12.). U opravdanim slučajevima izvanrednih okolnosti ili više sile navedeni se rokovi mogu produljiti za najviše jednu godinu.,"Upravni postupak pred prvostupanjskim javnopravnim tijelima za izdavanje dozvole za izgradnju proizvodnog postrojenja iz obnovljivih izvora energije može trajati najduže godinu dana, uz mogućnost produljenja još jedne godine. Rokovi se ne račune zbog trajanja postupaka pred sudom ili drugim pravnim lijekovima.

Izvor: [Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljive energije - Električna energija], str. 11; [Zakon o obnovljivim izvorima energije i visokoučinkovitoj kogeneraciji], str. 33",0.4181,1.0,0.0,1.0,"[{'naziv_dokumenta': 'Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljive energije - Električna energija', 'stranica': 11, 'kategorija': 'Pravni okvir i postupci'}, {'naziv_dokumenta': 'Zakon o obnovljivim izvorima energije i visokoučinkovitoj kogeneraciji', 'stranica': 33, 'kategorija': 'Pravni okvir i postupci'}]"
ZOI-04,Zakon o obnovljivim izvorima energije i visokoučinkovitoj kogeneraciji,Zakonodavstvo,Po kojoj su reguliranoj otkupnoj cijeni opskrbljivači električne energije dužni preuzeti udio neto isporučene električne energije povlaštenih proizvođača?,"Opskrbljivači električne energije dužni su preuzeti udio, izražen u postotku, u neto isporučenoj električnoj energiji povlaštenih proizvođača, uključivo pravo na jamstvo podrijetla, po reguliranoj otkupnoj cijeni koja iznosi 0,055744 EUR/kWh (članak 46. stavak 1.).","U kontekstu priloženog dokumenta nema informacija o reguliranim otkupnim cijenama po kojima su opskrbljivači električne energije dužni preuzeti udio neto isporučene električne energije povlaštenih proizvođača. Navodi se samo da je ""neto isporučena električna energija"" razlika između ukupno isporučene i ukupno preuzete električne energije, utvrđena u obračunskim mjernim intervalima.

Izvor: [Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljivih izvora energije - Električna energija], str. 21 (odnosno, Zakon o obnovljivim izvorima energije i visokoučinkovitoj kogeneraciji, str. 5)
",0.0,0.6667,0.0,1.0,"[{'naziv_dokumenta': 'Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljive energije - Električna energija', 'stranica': 118, 'kategorija': 'Obnovljivi izvori energije'}, {'naziv_dokumenta': 'Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljive energije - Električna energija', 'stranica': 21, 'kategorija': 'Pravni okvir i postupci'}, {'naziv_dokumenta': 'Zakon o obnovljivim izvorima energije i visokoučinkovitoj kogeneraciji', 'stranica': 5, 'kategorija': 'Pravni okvir i postupci'}]"
PRI-01,Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljive energije,Procedure i dozvole,Koji su ključni dionici u postupku ishođenja dozvola za izgradnju postrojenja za proizvodnju električne energije iz obnovljivih izvora?,"U postupcima ishođenja dozvola sudjeluju dionici na državnoj te lokalnoj i područnoj (regionalnoj) razini. Na državnoj razini to su MINGO, MZOZT, MPGI, MPS, HERA, HROTE, HOPS, HEP ODS, AZU, Hrvatske vode i Hrvatske šume. Jedinice lokalne i područne (regionalne) samouprave izdaju lokacijske i građevinske dozvole, a sudjeluju i područni uredi za katastar i zemljišnoknjižni odjeli. Uz njih sudjeluju ovlašteni članovi strukovnih komora (građevinarstva, arhitekture, elektrotehnike, geodezije, strojarstva). Prema Zakonu o gradnji ključni sudionici u gradnji su investitor, projektant, izvođač, nadzorni inženjer i revident.","Na temelju priloženog konteksta, ključni dionici u postupku ishođenja dozvole za izgradnju proizvodnog postrojenja iz obnovljivih izvora su:

1.  **HERA:** (Nije definirana u kontekstu, pretpostavlja se da je to regulatorna agencija) – Odgovorna za davanje rješenja o povlaštenom proizvođaču električne energije na temelju zahtjeva.
2.  **ZOIEVUK:** (Nije definiran u kontekstu, pretpostavlja se da je to tijelo koje definiše kriterije za ocjenjivanje potpora) – Uključuje se u definiranje uvjeta za male postrojenja i njihovo povezivanje s unutarnjim tržištem.
3.  **Proizvođač električne energije:** Osoba ili pravna entitet koja želi izgraditi proizvodno postrojenje iz obnovljivih izvora.
4.  **ZOC (Žaleći Operativni Centar) HROTE i TP (Gradska/Općinska Uprava):** Dionicari koji sudjeluju na javnim natječajima za ugovore o tržišnoj premiji i otkupu električne energije.

Izvor: [Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljive energije - Električna energija, str. 18]
",0.4352,0.5,0.0,1.0,"[{'naziv_dokumenta': 'Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljive energije - Električna energija', 'stranica': 94, 'kategorija': 'Obnovljivi izvori energije'}, {'naziv_dokumenta': 'Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljive energije - Električna energija', 'stranica': 18, 'kategorija': 'Pravni okvir i postupci'}, {'naziv_dokumenta': 'Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljive energije - Električna energija', 'stranica': 21, 'kategorija': 'Pravni okvir i postupci'}]"
PRI-02,Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljive energije,Procedure i dozvole,Koji je postupak stjecanja statusa povlaštenog proizvođača električne energije iz obnovljivih izvora?,"Nakon ishođenja uporabne dozvole potrebno je od HERA-e ishoditi dozvolu za obavljanje energetske djelatnosti proizvodnje, a potom od HERA-e i rješenje o stjecanju statusa povlaštenog proizvođača električne energije, koje se izdaje na rok važenja od 25 godina. Dozvolu za obavljanje energetske djelatnosti nije potrebno ishoditi ako je zbroj instaliranih snaga svih postrojenja investitora do uključivo 500 kW i ako se postrojenje nalazi iza obračunskog mjernog mjesta aktivnog kupca. Proizvodna postrojenja koja su jednostavne građevine stječu status povlaštenog proizvođača temeljem ZOIEVUK-a i ne trebaju ishoditi rješenje HERA-e, osim ako žele sudjelovati u sustavu jamstva podrijetla energije.","Postupak stjecanja statusa povlaštenog proizvođača električne energije iz obnovljivih izvora uključuje sljedeće korake:

1.  Rješenje o stjecanju statusa povlaštenog proizvođača električne energije izdaje se na temelju zahtjeva HERA-e ( Hrvatska elektroprivreda d.d.).
2.  U slučaju proizvodnje električne energije u proizvodnim postrojenjima koje su već u funkciji, stječe se status povlaštenog proizvođača.

Također, potrebno je sklopiti sljedeće ugovore:

1.  Ugovor o tržišnoj premiji (potiče tržišnom premijom).
2.  Ugovor o otkupu s otkupljivačem električne energije.
3.  Ugovor o sudjelovanju na tržištu električne energije s HROTE-om.

Izvor: [Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljivih izvora - Električna energija], str. 85, 94",0.5667,1.0,0.3333,1.0,"[{'naziv_dokumenta': 'Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljive energije - Električna energija', 'stranica': 85, 'kategorija': 'Pravni okvir i postupci'}, {'naziv_dokumenta': 'Zakon o obnovljivim izvorima energije i visokoučinkovitoj kogeneraciji', 'stranica': 8, 'kategorija': 'Pravni okvir i postupci'}, {'naziv_dokumenta': 'Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljive energije - Električna energija', 'stranica': 94, 'kategorija': 'Obnovljivi izvori energije'}]"
PRI-03,Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljive energije,Procedure i dozvole,Kako funkcionira model samoopskrbe (vlastita potrošnja) za sunčane elektrane i kako se obračunavaju viškovi proizvedene energije?,"U modelu samoopskrbe elektrana je priključena iza obračunskog mjernog mjesta kupca, pa se proizvedena energija najprije troši za vlastite potrebe, a tek se višak predaje u mrežu. Opskrbljivač je dužan preuzimati viškove kupaca s vlastitom proizvodnjom koji zadovoljavaju uvjete iz članka 51. ZOIEVUK-a. Zajamčena minimalna otkupna cijena viškova Ci obračunava se kao Ci = 0,9 × PKCi (kada je preuzeta energija veća ili jednaka isporučenoj), pri čemu je PKCi prosječna jedinična cijena koju kupac plaća opskrbljivaču. Obračunsko razdoblje je kalendarski mjesec, a mjerenje se provodi dvosmjernim intervalnim brojilom.","Model samoopskrbe kod solarnih elektrana funkcionalno je tako da korisnik maksimalno pokriva vlastite potrebe za električnom energijom, uz minimalne viškove proizvodnje i minimalan utjecaj na mrežu. U suštini, u dijelu dana kada je proizvodnja iz elektrane veća od trenutačne potrošnje, višak električne energije se predaje u elektroenergetsku mrežu. U suprotno, kada je proizvodnja manja od potreba ili nema proizvodnje, električna energija se preuzima iz mreže.

Ugovor o korištenju mreže i elektroenergetska suglasnost definiraju uvjete za ovu suradnju. Također, ugovor o opskrbi/otkupu definira odnos između kupca i opskrbljivača. Električna energija proizvedena iz vlastite elektrane isplativa je samo ako su troškovi njene izgradnje i proizvodnje niži od maloprodajne cijene električne energije kupljene od opskrbljivača.

Viškovi proizvedene energije se predaju u mrežu, a naknada za prijenos i distribuciju električne energije obračunava se prema specifičnim uvjetima utvrđenim Zakonom o obnovljivim izvorima energije i visokoučinkovitoj kogeneraciji. (19)

Izvor: [Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljivih izvora energije - Električna energija], str. 90; [Zakon o obnovljivim izvorima energije i visokoučinkovitoj kogeneraciji], str. 53
",0.0,0.9,0.5833,1.0,"[{'naziv_dokumenta': 'Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljive energije - Električna energija', 'stranica': 90, 'kategorija': 'Obnovljivi izvori energije'}, {'naziv_dokumenta': 'Zakon o obnovljivim izvorima energije i visokoučinkovitoj kogeneraciji', 'stranica': 53, 'kategorija': 'Obnovljivi izvori energije'}]"
PRI-04,Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljive energije,Procedure i dozvole,Koja je razlika između integriranih i neintegriranih sunčanih elektrana pri ishođenju dozvola?,"Neintegrirane sunčane elektrane su elektrane izgrađene kao samostojeće građevine, dok su integrirane one smještene na dijelovima građevina (krovovi, pokrovi, sjenila, balkoni, terase, nadstrešnice, fasade, prozori i dr.) ili na infrastrukturnim objektima. Razlika utječe na postupak: za neintegrirane se redom provode izrada idejnog rješenja, ishođenje energetskog odobrenja i elektroenergetske suglasnosti te građenje s uporabnom dozvolom. Za integrirane postupak započinje zahtjevom za priključenje operatoru distribucijskog sustava, nije potrebna građevinska ni uporabna dozvola (uz stručni nadzor i prijavu početka građenja), a građe se u skladu s glavnim projektom.","Razlikuje se u tome što kod izgradnje integranih sunčanih elektrana nije potrebna građevinska dozvola jer se primjenjuju odredbe Pravilnika o jednostavnim i drugim građevinama i radovima. Takve elektrane grade na postojećim zgradama, a ne izdaje se uporabna dozvola, ali je potreban stručni nadzor građenja i prijava početka građenja sukladno ZOG-u. Kod neintegriranih sunčanih elektrana je potrebno ishođenje građevinske dozvole.

Izvor: [Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljivih izvora energije - Električna energija], str. 118
",0.4517,1.0,0.5833,1.0,"[{'naziv_dokumenta': 'Priručnik o postupcima ishođenja dozvola za izgradnju proizvodnog postrojenja iz obnovljive energije - Električna energija', 'stranica': 118, 'kategorija': 'Obnovljivi izvori energije'}, {'naziv_dokumenta': 'Zakon o obnovljivim izvorima energije i visokoučinkovitoj kogeneraciji', 'stranica': 18, 'kategorija': 'Financiranje i potpore'}]"
MET-01,Metodologija provođenja energetskog pregleda zgrada 2021,Energetska učinkovitost,Što je energetski pregled zgrade i koji su mu ciljevi prema Metodologiji 2021?,Energetski pregled zgrade sustavni je postupak prikupljanja i analize podataka o energetskim karakteristikama zgrade s ciljem utvrđivanja energetskog razreda i preporuka za poboljšanje energetske učinkovitosti. Ciljevi i svrha opisani su na stranicama 1–15 Metodologije.,"Energetski pregled zgrade je postupak analize stanja i mogućnosti primjene mjera poboljšanja energetskih svojstava zgrade i poboljšanja energetske učinkovitosti u skladu s realnim uvjetima eksploatacije i uporabe zgrade.

Ciljevi energetskog pregleda, prema Metodologiji 2021, su:

1.  Analiza stanja i mogućnosti primjene mjera poboljšanja energetskih svojstava zgrade i poboljšanja energetske učinkovitosti.
2.  Prikupljanje svih potrebnih podataka i informacija o zgradi za provođenje postupka energetskog certificiranja zgrade i određivanja energetskog razreda zgrade u propisanim referentnim klimatskim podacima prema Algoritmu.

Izvor: [Metodologija provođenja energetskog pregleda zgrada 2021], str. 2
",0.0,1.0,1.0,1.0,"[{'naziv_dokumenta': 'Metodologija provođenja energetskog pregleda zgrada 2021', 'stranica': 2, 'kategorija': 'Energetski pregled zgrada'}, {'naziv_dokumenta': 'Metodologija provođenja energetskog pregleda zgrada 2021', 'stranica': 12, 'kategorija': 'Energetski pregled zgrada'}, {'naziv_dokumenta': 'Metodologija provođenja energetskog pregleda zgrada 2021', 'stranica': 54, 'kategorija': 'Mjere obnove zgrada'}]"
MET-02,Metodologija provođenja energetskog pregleda zgrada 2021,Energetska učinkovitost,Što mora sadržavati plan mjerenja koji se izrađuje u sklopu pripreme kontrolnih mjerenja pri energetskom pregledu zgrade?,"Plan mjerenja ključni je dokument pripreme kontrolnih mjerenja koji mora sadržavati odgovore na pitanja: tko mjeri, gdje se mjeri, koliko traje mjerenje, tko je od strane korisnika odobrio mjerenje, s kojom se mjernom opremom mjeri te tko kontrolira mjerenje. Plan mjerenja mora biti sastavni dio dokumentacije koja se zajedno s rezultatima mjerenja predaje korisniku.","Plan mjerenja, koji se izrađuje u sklopu pripreme kontrolnih mjerenja pri energetskom pregledu zgrade, mora sadržavati odgovore na sljedeća pitanja:

1.  Tko mjeri?
2.  Gdje se mjeri?
3.  Koliko traje mjerenje?

Izvor: [Metodologija provođenja energetskog pregleda zgrada 2021], str. 15",0.4739,1.0,1.0,0.5,"[{'naziv_dokumenta': 'Metodologija provođenja energetskog pregleda zgrada 2021', 'stranica': 15, 'kategorija': 'Energetski pregled zgrada'}, {'naziv_dokumenta': 'Metodologija provođenja energetskog pregleda zgrada 2021', 'stranica': 6, 'kategorija': 'Energetski pregled zgrada'}]"
