Tip testa,ID,Pitanje,Rezultat,Detalj
Repeated query,ZOI-01,Koji je nacionalni cilj udjela obnovljivih izvora energije u ukupnoj potrošnji energije u Republici Hrvatskoj do 2030. godine?,STABILNO,0/4 odbijanja
Repeated query,PRI-03,Kako funkcionira model samoopskrbe (vlastita potrošnja) za sunčane elektrane i kako se obračunavaju viškovi proizvedene energije?,STABILNO,0/4 odbijanja
Repeated query,MET-03,Koje mjere povećanja energetske učinkovitosti obuhvaća građevinska (vanjska) ovojnica zgrade prema Metodologiji 2021?,STABILNO,0/4 odbijanja
Repeated query,VEN-01,Koje uvjete moraju ispunjavati tehnička svojstva sustava ventilacije prema Tehničkom propisu o sustavima ventilacije?,STABILNO,0/4 odbijanja
Repeated query,JPO-02,Koji je minimalni stupanj korisnog djelovanja fotonaponskih modula za prihvatljivost sufinanciranja prema Javnom pozivu EnU-6/25?,STABILNO,0/4 odbijanja
SelfCheck rizik,ZOI-01,Koji je nacionalni cilj udjela obnovljivih izvora energije u ukupnoj potrošnji energije u Republici Hrvatskoj do 2030. godine?,NIZAK,"Tip=NIZAK | CV=0.119 Duljina=UJEDNAČENO | Svi pokušaji (4/4) dali dosljedan tip odgovora. Duljine odgovora: [491, 437, 491, 580] znakova | CV=0.12 → ujednačeno"
SelfCheck rizik,PRI-03,Kako funkcionira model samoopskrbe (vlastita potrošnja) za sunčane elektrane i kako se obračunavaju viškovi proizvedene energije?,NIZAK,"Tip=NIZAK | CV=0.113 Duljina=UJEDNAČENO | Svi pokušaji (4/4) dali dosljedan tip odgovora. Duljine odgovora: [1410, 1324, 1714, 1494] znakova | CV=0.11 → ujednačeno"
SelfCheck rizik,MET-03,Koje mjere povećanja energetske učinkovitosti obuhvaća građevinska (vanjska) ovojnica zgrade prema Metodologiji 2021?,NIZAK,"Tip=NIZAK | CV=0.164 Duljina=UJEDNAČENO | Svi pokušaji (4/4) dali dosljedan tip odgovora. Duljine odgovora: [399, 437, 574, 518] znakova | CV=0.16 → ujednačeno"
SelfCheck rizik,VEN-01,Koje uvjete moraju ispunjavati tehnička svojstva sustava ventilacije prema Tehničkom propisu o sustavima ventilacije?,NIZAK,"Tip=NIZAK | CV=0.001 Duljina=UJEDNAČENO | Svi pokušaji (4/4) dali dosljedan tip odgovora. Duljine odgovora: [498, 499, 498, 498] znakova | CV=0.00 → ujednačeno"
SelfCheck rizik,JPO-02,Koji je minimalni stupanj korisnog djelovanja fotonaponskih modula za prihvatljivost sufinanciranja prema Javnom pozivu EnU-6/25?,NIZAK,"Tip=NIZAK | CV=0.000 Duljina=UJEDNAČENO | Svi pokušaji (4/4) dali dosljedan tip odgovora. Duljine odgovora: [254, 254, 254, 254] znakova | CV=0.00 → ujednačeno"
Out-of-domain,OOD-01,Koji su porezni propisi za isplatu dividende dioničarima u Hrvatskoj?,ISPRAVNO,Porezno pravo nije pokriveno domenskim dokumentima
Out-of-domain,OOD-02,Kako instalirati solarne panele na jedrilici za pogon motora?,ISPRAVNO,Pomorska/brodska primjena nije tema dokumenata
Out-of-domain,OOD-03,Kolika je trenutna burzovna cijena električne energije na HUPX-u danas?,ISPRAVNO,"Sustav nema pristup live tržišnim podacima, samo statičkim dokumentima"
Out-of-domain,OOD-04,Koji je najbolji recept za mafine?,ISPRAVNO,Potpuno izvan domene — kontrolno pitanje
